,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,target
index_204,0.5,0.7,0.0,0.0,0.2,1.1,2.4,2.5,8.0,1.5,0
index_205,0.0,0.0,27.0,2.6,0.0,0.0,0.2,0.9,3.6,5.6,0
index_206,15.6,0.0,0.0,0.3,25.4,0.6,13.8,10.0,4.7,0.6,1
index_207,0.0,1.7,6.4,11.2,0.0,1.0,0.0,0.0,0.0,0.0,0
index_208,1.5,0.0,0.0,1.3,0.0,1.8,4.3,0.0,0.0,0.0,0
index_209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.8,0.3,0
index_210,1.9,5.8,8.9,1.5,1.9,0.0,12.3,1.6,0.0,0.0,0
index_211,13.7,0.6,0.0,0.0,35.8,0.8,0.5,26.2,20.5,6.9,1
index_212,3.2,0.0,5.6,6.0,2.8,0.0,0.0,0.0,0.0,0.0,0
index_213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_214,1.5,2.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0
index_215,0.5,0.7,0.0,6.3,0.8,3.7,2.1,3.1,0.0,2.3,0
index_216,0.0,1.0,2.8,0.0,4.3,1.9,3.3,0.9,4.5,1.5,0
index_217,1.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_218,14.0,23.4,0.0,5.6,3.2,0.0,0.0,0.0,0.0,0.0,0
index_219,0.0,1.2,0.7,0.0,11.1,7.2,9.4,10.4,1.8,0.8,0
index_220,0.0,0.0,0.2,2.5,3.2,0.0,25.7,0.0,0.5,0.0,0
index_221,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.5,0
index_222,0.6,1.3,2.3,0.5,2.3,14.7,1.3,12.6,13.4,1.0,0
index_223,0.0,0.0,0.0,1.9,0.0,1.2,0.8,4.0,7.0,0.0,0
index_224,0.7,0.2,0.0,0.0,0.0,1.0,0.7,0.5,8.4,0.4,0
index_225,6.4,0.5,18.7,2.1,2.0,3.5,2.0,0.0,0.0,2.6,0
index_226,0.0,0.0,13.7,0.7,26.9,0.0,6.0,12.8,6.9,1.4,1
index_227,0.7,0.5,0.2,0.0,3.0,13.3,1.3,1.1,0.0,0.5,0
index_228,0.4,6.4,0.0,0.4,0.0,4.7,2.4,2.7,1.3,0.7,0
index_229,0.3,0.6,0.0,3.9,0.0,2.6,0.0,7.7,1.0,0.0,0
index_230,0.0,0.0,0.8,2.1,7.6,0.6,0.8,1.0,1.1,1.0,0
index_231,0.5,2.1,2.2,0.5,2.9,1.9,2.6,0.8,0.4,0.3,0
index_232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,29.1,18.0,0
index_233,0.0,10.6,7.2,2.0,1.2,11.3,2.9,3.6,4.2,1.0,0
index_234,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,0
index_235,0.0,13.2,1.4,4.6,6.3,0.7,0.3,0.5,0.0,0.0,0
index_236,0.0,0.0,0.0,8.9,0.0,7.1,0.0,0.1,0.5,1.1,0
index_237,4.4,6.0,3.0,2.1,1.5,0.5,0.0,0.0,4.7,0.5,0
index_238,0.4,0.5,7.9,2.4,21.9,5.1,4.2,7.9,2.0,7.0,1
index_239,4.0,5.2,2.9,1.9,0.5,1.9,2.4,1.0,12.0,11.1,0
index_240,0.2,15.3,0.9,18.6,20.0,2.9,3.3,2.1,7.0,3.6,1
index_241,2.9,0.0,0.6,0.4,0.2,0.0,1.2,0.0,0.0,0.0,0
index_242,0.0,0.0,0.0,0.0,0.4,3.6,27.2,18.0,4.7,11.2,1
index_243,1.2,4.9,0.1,15.2,4.0,24.1,4.0,3.0,1.5,9.2,1
index_244,2.3,4.4,2.2,3.0,0.5,1.6,14.7,2.9,3.7,4.7,0
index_245,1.0,0.6,5.7,2.1,1.0,0.1,2.6,0.0,20.8,6.2,0
index_246,2.0,0.2,0.1,0.0,0.4,0.0,0.0,3.2,0.3,4.7,0
index_247,4.4,8.0,4.8,0.1,1.5,0.8,9.2,6.6,4.5,1.3,0
index_248,4.7,0.5,18.3,5.1,4.8,0.7,11.1,1.4,5.2,0.0,0
index_249,1.6,3.8,1.9,0.0,5.9,0.6,2.0,9.2,0.4,0.0,0
index_250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0
index_251,0.2,8.7,0.8,1.1,1.0,7.1,0.0,1.0,0.0,0.0,0
index_252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_253,0.0,1.1,5.9,0.0,0.4,5.0,3.5,2.7,3.0,13.5,0
index_254,4.8,2.7,4.1,0.0,5.6,0.0,0.0,0.3,0.3,0.0,0
index_255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.5,0
index_256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0
index_257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0
index_258,0.0,0.0,30.0,17.6,4.3,0.0,0.0,0.0,0.0,0.8,0
index_259,0.0,0.0,5.2,0.7,2.0,0.1,4.0,8.4,7.8,0.7,0
index_260,1.8,0.0,14.8,8.9,0.0,8.5,0.0,5.0,7.2,2.1,0
index_261,2.2,7.0,0.4,2.0,2.6,1.1,0.4,1.2,0.0,0.0,0
index_262,2.2,0.0,0.0,0.0,5.7,0.0,1.3,1.5,0.0,0.0,0
